代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,15.7,-0.23,-1.444,15.6,15.7,15.93,15.76,16.0,15.52,674173.0,10545193.0,15:30:00
bj920001,纬达光电,15.38,-1.12,-6.788,15.38,15.4,16.5,16.18,16.2,15.35,4220142.0,65871947.0,15:30:00
bj920002,万达轴承,96.05,-2.78,-2.813,96.05,96.06,98.83,99.77,99.77,95.53,1622572.0,157175434.0,15:30:00
bj920003,中诚咨询,31.06,-0.33,-1.051,30.99,31.06,31.39,31.2,31.47,30.76,321575.0,9966386.0,15:30:00
bj920005,鼎佳精密,33.99,-1.16,-3.3,33.99,34.01,35.15,35.16,35.16,33.78,543677.0,18497988.0,15:30:00
bj920006,晟楠科技,19.75,-0.19,-0.953,19.74,19.75,19.94,19.93,19.95,19.49,593478.0,11685899.0,15:30:00
bj920007,酉立智能,51.71,-1.42,-2.673,51.71,51.8,53.13,53.04,53.04,51.5,262790.0,13649729.0,15:30:00
bj920008,成电光信,25.4,-0.09,-0.353,25.4,25.43,25.49,25.28,25.58,25.06,572372.0,14467323.0,15:30:00
bj920009,丹娜生物,44.85,-1.02,-2.224,44.85,44.89,45.87,45.77,45.77,44.55,304980.0,13694771.0,15:30:00
bj920010,凯添燃气,13.37,0.21,1.596,13.36,13.37,13.16,13.16,13.75,12.97,10891254.0,145708793.0,15:30:00
bj920011,晨光电机,30.49,1.13,3.849,30.45,30.49,29.36,28.7,31.15,27.92,6804878.0,197824101.0,15:30:00
bj920012,创达新材,78.27,2.61,3.45,78.27,78.28,75.66,74.03,78.74,71.6,3944754.0,297300275.0,15:30:00
bj920014,特瑞斯,11.69,-0.17,-1.433,11.68,11.69,11.86,11.91,11.94,11.55,2132399.0,24939244.0,15:30:00
bj920015,锦华新材,47.55,-0.35,-0.731,47.55,47.6,47.9,50.0,52.0,46.0,4275850.0,206370352.0,15:30:00
bj920016,中草香料,16.32,-0.05,-0.305,16.2,16.32,16.37,16.3,16.44,16.02,435377.0,7082583.0,15:30:00
bj920017,星昊医药,17.17,-0.41,-2.332,17.17,17.22,17.58,17.58,17.58,17.13,1137710.0,19687937.0,15:30:00
bj920018,宏远股份,27.62,-0.7,-2.472,27.62,27.65,28.32,28.25,28.39,27.4,2026373.0,56260168.0,15:30:00
bj920019,铜冠矿建,17.53,-0.02,-0.114,17.51,17.53,17.55,17.26,17.68,17.26,1542327.0,26961318.0,15:30:00
bj920020,泰凯英,15.6,-0.13,-0.826,15.59,15.6,15.73,15.84,15.84,15.5,602966.0,9398491.0,15:30:00
bj920021,流金科技,10.49,0.07,0.672,10.49,10.5,10.42,10.61,10.84,10.37,17639404.0,185635558.0,15:30:00
bj920022,XD世昌股,25.72,-0.5,-1.907,25.71,25.72,26.22,26.23,26.41,25.62,249547.0,6450833.0,15:30:00
